Classifier,Evaluation,Correct,ModelTime,Time,NumOfFeature,Features
J48,InfoGainAttributeEval,7952.0,2.165645741,9.027804801,54,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26-Soil_Type33-Soil_Type27-Soil_Type7-Soil_Type14-Soil_Type6-Soil_Type24
J48,InfoGainAttributeEval,7960.0,0.675945473,6.434619711,53,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26-Soil_Type33-Soil_Type27-Soil_Type7-Soil_Type14-Soil_Type6
J48,InfoGainAttributeEval,7960.0,0.622250603,6.279711879,52,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26-Soil_Type33-Soil_Type27-Soil_Type7-Soil_Type14
J48,InfoGainAttributeEval,7960.0,0.624670707,6.243384581,51,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26-Soil_Type33-Soil_Type27-Soil_Type7
J48,InfoGainAttributeEval,7960.0,0.64201838,6.441005551,50,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26-Soil_Type33-Soil_Type27
J48,InfoGainAttributeEval,7944.0,0.636035444,6.533538391,49,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26-Soil_Type33
J48,InfoGainAttributeEval,7938.0,0.664281525,6.508705241,48,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8-Soil_Type26
J48,InfoGainAttributeEval,7936.0,0.649617702,6.333774794,47,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35-Soil_Type8
J48,InfoGainAttributeEval,7941.0,0.637324467,6.55222021,46,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20-Soil_Type35
J48,InfoGainAttributeEval,7940.0,0.653837867,6.33862649,45,Elevation-Wilderness_Area3-Horizontal_Distance_To_Roadways-Horizontal_Distance_To_Fire_Points-Wilderness_Area0-Soil_Type9-Horizontal_Distance_To_Hydrology-Hillshade_9am-Wilderness_Area2-Soil_Type2-Vertical_Distance_To_Hydrology-Soil_Type37-Hillshade_3pm-Aspect-Soil_Type28-Soil_Type38-Slope-Soil_Type29-Soil_Type5-Hillshade_Noon-Soil_Type22-Soil_Type12-Soil_Type16-Soil_Type39-Soil_Type11-Soil_Type31-Soil_Type21-Soil_Type1-Soil_Type0-Soil_Type3-Soil_Type13-Soil_Type32-Soil_Type34-Soil_Type30-Soil_Type4-Soil_Type23-Soil_Type10-Wilderness_Area1-Soil_Type19-Soil_Type17-Soil_Type36-Soil_Type25-Soil_Type18-Soil_Type15-Soil_Type20
